"Indikator Pendidikan, 1994-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indikator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTISIPASI PENDIDIKAN FORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 7-12 tahun, 94.06 , 93.94 , 94.43 , 95.37 , 95.06 , 95.34 , 95.50 , 95.61 , 96.10 , 96.42 , 96.77 , 97.14 , 97.39 , 97.60 , 97.83 , 97.95 , 97.97 , 97.53 , 97.94 , 98.34 , 98.83 , 98.57 , 98.98 , 99.08 , 99.11 , 99.17 , 99.21 , 99.12 , 99.01 , 99.12 , 99.17 , 99.06 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 13-15 tahun, 72.39 , 73.20 , 75.84 , 77.51 , 77.16 , 79.04 , 79.58 , 79.35 , 79.21 , 81.01 , 83.49 , 84.02 , 84.08 , 84.26 , 84.41 , 85.43 , 86.11 , 87.79 , 89.61 , 90.62 , 94.32 , 94.25 , 94.79 , 94.98 , 95.23 , 95.43 , 95.52 , 95.85 , 95.81 , 95.99 , 96.02 , 95.53 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 16-18 tahun, 45.31 , 44.65 , 47.59 , 48.64 , 49.28 , 51.14 , 51.17 , 49.18 , 49.76 , 50.97 , 53.48 , 53.86 , 53.92 , 54.61 , 54.70 , 55.05 , 55.83 , 57.69 , 61.30 , 63.64 , 70.13 , 70.26 , 70.68 , 71.20 , 71.82 , 71.92 , 71.44 , 70.74 , 72.88 , 73.07 , 74.35 , 76.20 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 19-23 tahun,,,,,,,,,,,,,,,,,, 16.08 , 17.90 , 22.79 , 24.92 , 25.71 , 26.69 , 27.75 , 27.79 , 25.04 , 25.03 , 25.97 , 26.46 , 26.82 , 28.06 , 26.94 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SD Sederajat, 107.13 , 107.00 , 107.19 , 108.04 , 107.60 , 108.10 , 107.68 , 107.21 , 105.99 , 105.82 , 107.13 , 106.63 , 109.96 , 110.35 , 109.41 , 110.35 , 111.63 , 102.42 , 104.23 , 107.63 , 108.78 , 109.94 , 109.20 , 108.43 , 108.48 , 107.36 , 105.97 , 105.79 , 106.14 , 105.28 , 104.79 , 104.55 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SMP Sederajat, 64.36 , 65.65 , 70.46 , 74.18 , 73.14 , 76.08 , 77.62 , 78.10 , 79.81 , 81.09 , 82.24 , 82.09 , 81.87 , 82.03 , 81.38 , 81.09 , 80.35 , 89.37 , 89.29 , 85.69 , 88.43 , 90.63 , 89.98 , 90.00 , 91.23 , 90.20 , 88.94 , 85.86 , 87.76 , 91.25 , 90.67 , 89.46 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SMA/SMK Sederajat, 43.04 , 42.43 , 44.87 , 46.57 , 47.17 , 48.37 , 50.22 , 46.47 , 48.00 , 50.89 , 54.38 , 55.21 , 56.69 , 56.71 , 57.42 , 62.37 , 62.53 , 64.10 , 68.45 , 66.27 , 73.95 , 77.39 , 80.44 , 82.25 , 80.11 , 79.94 , 78.61 , 80.17 , 80.17 , 81.68 , 84.40 , 83.82 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) PT 19-23 tahun,,,,,,,,,,,,,,,,,, 21.58 , 22.49 , 27.53 , 31.05 , 25.26 , 27.98 , 29.93 , 30.19 , 30.28 , 30.85 , 31.19 , 31.16 , 31.45 , 32.00 , 32.89 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Murni (APM) SD Sederajat, 92.11 , 91.45 , 91.46 , 92.34 , 92.09 , 92.70 , 92.28 , 92.88 , 92.70 , 92.55 , 93.04 , 93.25 , 93.54 , 93.75 , 93.99 , 94.37 , 94.72 , 90.98 , 92.47 , 95.52 , 96.37 , 96.20 , 96.71 , 97.14 , 97.48 , 97.58 , 97.65 , 97.72 , 97.78 , 97.86 , 97.93 , 96.85 ,,,,,,,,,,,
