Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Simeulue,10.11,10.08,10.91,15.8,12.43"
"Aceh Singkil,7.41,7.41,7.31,9.8,6.37"
"Aceh Selatan,10.2,10.44,13.7,16.02,7.81"
"Aceh Tenggara,11.57,9.44,12.97,13.69,6.75"
"Aceh Timur,7.96,8.71,8.61,9.05,7.2"
"Aceh Tengah,7.8,8.9,8.61,10,5.46"
"Aceh Barat,8.66,8.41,6.16,6.55,4.09"
"Aceh Besar,7.21,8.13,8.58,10.46,5.91"
"Pidie,7.61,8.63,9.12,11,6.16"
"Bireuen,8.83,8.98,7.62,6.78,6.56"
"Aceh Utara,8.71,10.94,14.24,17.02,11.71"
"Aceh Barat Daya,8.64,8.81,9.64,12.82,7.99"
"Gayo Lues,7.01,7.97,9.18,8.27,3.18"
"Aceh Tamiang,11.62,9.98,12.05,15.13,9.29"
"Nagan Raya,7.08,6.91,3.43,5.95,4.75"
"Aceh Jaya,8.95,8.43,9.44,9.33,6.38"
"Bener Meriah,6.27,7.31,7.22,9.27,7.01"
"Pidie Jaya,9.24,9.67,9.47,7.78,4.82"
"Kota Banda Aceh,6.84,6.69,5.47,6.29,2.75"
"Kota Sabang,7.67,7.81,9.01,8.4,4.26"
"Kota Langsa,8.44,8.96,9.89,11.87,4.93"
"Kota Lhokseumawe,7.16,7.86,6.09,12.84,4.05"
"Kota Subulussalam,6.01,8.02,7.3,10.19,6.76"
"Nias,5.65,6.24,8.14,9.53,7"
"Mandailing Natal,6.78,7.1,9.03,7.83,7.25"
"Tapanuli Selatan,6.47,7.68,8.1,7.14,7.02"
"Tapanuli Tengah,5.62,6.66,6.99,8.84,5.95"
"Tapanuli Utara,6.54,6.64,7.05,6.83,5.74"
"Toba Samosir,5.71,7.72,6.91,5.56,4.16"
"Labuhan Batu,6.45,7.07,7.38,9.91,5.99"
"Asahan,6.74,7.64,8.65,7.66,6.33"
"Simalungun,7.38,8.34,11.19,10.17,7.58"
"Dairi,6.13,6.72,7.66,6.66,6.01"
"Karo,4.7,6.13,5.42,6.42,3.78"
"Deli Serdang,7.06,7.46,9.7,10.32,6.54"
"Langkat,8.48,8.82,10.75,10.74,7.96"
"Nias Selatan,9.53,7.81,13.45,13.08,8.51"
"Humbang Hasundutan,5.22,6.18,5.82,6.88,6.27"
"Pakpak Bharat,5.71,6.13,5.26,5.46,4.75"
"Samosir,4.96,5.31,6.31,5.95,5.01"
"Serdang Bedagai,7.37,8.46,10.59,9.64,7.58"
"Batu Bara,7.36,7.45,8.44,7.04,6.88"
"Padang Lawas Utara,5.55,6.16,6.09,5.21,4.89"
"Padang Lawas,4.69,5.53,5.26,5.11,3.89"
"Labuhan Batu Selatan,5.65,6.65,5.33,6.73,4.54"
"Labuhan Batu Utara,6.32,7.08,7.69,7.58,5.52"
"Nias Utara,6.53,6.73,9.2,10.69,8.17"
"Nias Barat,6.57,6.96,10.95,10.44,8.52"
"Kota Sibolga,7.59,8.53,7.32,7.08,5.33"
"Kota Tanjung Balai,5.86,6.3,7.56,7.14,5.15"
"Kota Pematang Siantar,6.93,7.24,9.09,9.75,6.62"
"Kota Tebing Tinggi,6.5,9.54,9.78,10.52,7.19"
"Kota Medan,7.84,7.27,7.3,7.86,4.94"
"Kota Binjai,9.22,7.63,11.5,11.07,7.62"
"Kota Padangsidimpuan,6.04,6.99,7.45,7.92,5.35"
"Kota Gunungsitoli,6.24,7.43,9.66,8.92,6.09"
"Kepulauan Mentawai,10.03,9.31,10.62,11.19,8.36"
"Pesisir Selatan,7.54,8.82,8.65,6.49,6.23"
"Solok,6.59,8.94,6.83,7.07,6.5"
